country,won,goal_diff,won_norm,goal_diff_norm,score,rank
Belgium,10,13,1.0,0.9,95.0,1
France,9,15,0.8888888888888888,1.0,94.44444444444444,2
Germany,7,12,0.6666666666666666,0.85,75.83333333333333,3
Colombia,6,11,0.5555555555555556,0.8,67.77777777777779,4
Netherlands,5,11,0.4444444444444444,0.8,62.22222222222222,5
Croatia,5,5,0.4444444444444444,0.5,47.22222222222222,6
Brazil,6,2,0.5555555555555556,0.35,45.27777777777778,7
Uruguay,6,2,0.5555555555555556,0.35,45.27777777777778,8
Argentina,6,1,0.5555555555555556,0.3,42.77777777777778,9
England,3,2,0.2222222222222222,0.35,28.61111111111111,10
Sweden,3,2,0.2222222222222222,0.35,28.61111111111111,11
Mexico,4,-1,0.3333333333333333,0.2,26.666666666666668,12
Russia,2,3,0.1111111111111111,0.4,25.555555555555554,13
Switzerland,3,0,0.2222222222222222,0.25,23.61111111111111,14
Chile,2,2,0.1111111111111111,0.35,23.055555555555554,15
Costa Rica,2,0,0.1111111111111111,0.25,18.055555555555554,16
Denmark,1,1,0.0,0.3,15.0,17
Spain,2,-2,0.1111111111111111,0.15,13.055555555555554,18
Senegal,1,0,0.0,0.25,12.5,19
Peru,1,0,0.0,0.25,12.5,20
Bosnia and Herzegovina,1,0,0.0,0.25,12.5,21
Algeria,1,0,0.0,0.25,12.5,22
Ecuador,1,0,0.0,0.25,12.5,23
Nigeria,2,-3,0.1111111111111111,0.1,10.555555555555555,24
Portugal,2,-3,0.1111111111111111,0.1,10.555555555555555,25
United States,1,-1,0.0,0.2,10.0,26
Italy,1,-1,0.0,0.2,10.0,27
Ivory Coast,1,-1,0.0,0.2,10.0,28
Greece,1,-2,0.0,0.15,7.5,29
Serbia,1,-2,0.0,0.15,7.5,30
Tunisia,1,-3,0.0,0.1,5.0,31
South Korea,1,-3,0.0,0.1,5.0,32
Poland,1,-3,0.0,0.1,5.0,33
Iran,1,-3,0.0,0.1,5.0,34
Japan,1,-5,0.0,0.0,0.0,35
Saudi Arabia,1,-5,0.0,0.0,0.0,36
